symbol,value,unit,variant_id,product_id
d,32,mm,25,1
D SDR,75,mm,25,1
DN,11,mm,25,1
PN,25,bar,25,1
L,66,mm,25,1
L1,36,mm,25,1
z,11,mm,25,1
d,40,mm,26,1
D SDR,90,mm,26,1
DN,11,mm,26,1
PN,32,bar,26,1
L,70,mm,26,1
L1,40,mm,26,1
z,11,mm,26,1
d,50,mm,27,1
D SDR,90,mm,27,1
DN,11,mm,27,1
PN,40,bar,27,1
L,76,mm,27,1
L1,44,mm,27,1
z,13,mm,27,1
d,63,mm,28,1
D SDR,110,mm,28,1
DN,11,mm,28,1
PN,50,bar,28,1
L,83,mm,28,1
L1,48,mm,28,1
z,16,mm,28,1
d,75,mm,29,1
D SDR,125,mm,29,1
DN,11,mm,29,1
PN,65,bar,29,1
L,92,mm,29,1
L1,55,mm,29,1
z,18,mm,29,1
d,90,mm,30,1
D SDR,140,mm,30,1
DN,11,mm,30,1
PN,80,bar,30,1
L,111,mm,30,1
L1,62,mm,30,1
z,30,mm,30,1
d,110,mm,31,1
D SDR,160,mm,31,1
DN,11,mm,31,1
PN,100,bar,31,1
L,132,mm,31,1
L1,72,mm,31,1
z,41,mm,31,1
d,140,mm,32,1
D SDR,200,mm,32,1
DN,11,mm,32,1
PN,125,bar,32,1
L,151,mm,32,1
L1,84,mm,32,1
z,48,mm,32,1
d,32,mm,9,2
D SDR,75,mm,9,2
PN,11,bar,9,2
L,113,mm,9,2
L1,36,mm,9,2
z,5,mm,9,2
d,40,mm,10,2
D SDR,90,mm,10,2
PN,11,bar,10,2
L,121,mm,10,2
L1,40,mm,10,2
z,3,mm,10,2
d,50,mm,11,2
D SDR,90,mm,11,2
PN,11,bar,11,2
L,129,mm,11,2
L1,44,mm,11,2
z,3,mm,11,2
d,63,mm,12,2
D SDR,110,mm,12,2
PN,11,bar,12,2
L,137,mm,12,2
L1,48,mm,12,2
z,3,mm,12,2
d,75,mm,13,2
D SDR,125,mm,13,2
PN,11,bar,13,2
L,152,mm,13,2
L1,55,mm,13,2
z,3,mm,13,2
d,90,mm,14,2
D SDR,140,mm,14,2
PN,11,bar,14,2
L,166,mm,14,2
L1,62,mm,14,2
z,4,mm,14,2
d,110,mm,15,2
D SDR,160,mm,15,2
PN,11,bar,15,2
L,188,mm,15,2
L1,72,mm,15,2
z,4,mm,15,2
d,140,mm,16,2
D SDR,200,mm,16,2
PN,11,bar,16,2
L,210,mm,16,2
L1,84,mm,16,2
z,3,mm,16,2
d,32,mm,170,3
DN,25,mm,170,3
D,70,mm,170,3
L,132,mm,170,3
L1,36,mm,170,3
z,118,mm,170,3
d,32,mm,171,3
DN,25,mm,171,3
D,70,mm,171,3
L,132,mm,171,3
L1,36,mm,171,3
z,116,mm,171,3
d,32,mm,172,3
DN,25,mm,172,3
D,70,mm,172,3
L,132,mm,172,3
L1,36,mm,172,3
z,115,mm,172,3
d,40,mm,173,3
DN,32,mm,173,3
D,78,mm,173,3
L,157,mm,173,3
L1,40,mm,173,3
z,141,mm,173,3
d,50,mm,174,3
DN,40,mm,174,3
D,88,mm,174,3
L,150,mm,174,3
L1,44,mm,174,3
z,128,mm,174,3
d,63,mm,175,3
DN,50,mm,175,3
D,101,mm,175,3
L,164,mm,175,3
L1,48,mm,175,3
z,140,mm,175,3
d,32,mm,187,4
Gewinde,Rp,,187,4
Zoll,1,inch,187,4
SDR,11,,187,4
DN,25,mm,187,4
D,108,mm,187,4
L,136,mm,187,4
L1,36,mm,187,4
L2,29,mm,187,4
z1,107,mm,187,4
z2,10,mm,187,4
d,40,mm,188,4
Gewinde,Rp,,188,4
Zoll,1 ¼,inch,188,4
SDR,11,,188,4
DN,32,mm,188,4
D,116,mm,188,4
L,150,mm,188,4
