variant_id,article_number,product_id
25,738 154 108,1
26,738 154 109,1
27,738 154 110,1
28,738 154 111,1
29,738 154 112,1
30,738 154 113,1
31,738 154 114,1
32,738 154 166,1
9,738 914 108,2
10,738 914 109,2
11,738 914 110,2
12,738 914 111,2
13,738 914 112,2
14,738 914 113,2
15,738 914 114,2
16,738 914 116,2
170,738 954 008,3
171,738 954 018,3
172,738 954 028,3
173,738 954 009,3
174,738 954 010,3
175,738 954 011,3
187,738 544 208,4
188,738 544 209,4
189,738 544 210,4
190,738 544 211,4
116,738 914 408,5
117,738 914 409,5
118,738 914 410,5
119,738 914 411,5
120,738 914 412,5
121,738 914 413,5
122,738 914 414,5
123,738 914 416,5
75,738 900 506,6
76,738 900 509,6
77,738 900 510,6
78,738 900 512,6
79,738 900 513,6
80,738 900 514,6
81,738 900 515,6
82,738 900 519,6
83,738 900 524,6
104,738 114 106,7
105,738 114 107,7
106,738 114 108,7
17,738 104 108,8
18,738 104 109,8
19,738 104 110,8
20,738 104 111,8
21,738 104 112,8
22,738 104 113,8
23,738 104 114,8
24,738 104 166,8
151,738 944 008,9
152,738 944 018,9
153,738 944 028,9
154,738 944 009,9
155,738 944 010,9
156,738 944 011,9
1,738 174 108,10
2,738 174 109,10
3,738 174 110,10
4,738 174 111,10
5,738 174 112,10
6,738 174 113,10
7,738 174 114,10
8,738 174 116,10
57,738 904 206,11
58,738 904 209,11
59,738 904 210,11
60,738 904 212,11
61,738 904 213,11
62,738 904 214,11
63,738 904 222,11
64,738 904 229,11
65,738 904 318,11
66,738 904 322,11
67,738 904 323,11
68,738 904 327,11
69,738 904 328,11
70,738 904 329,11
71,738 904 340,11
72,738 904 341,11
73,738 904 342,11
74,738 904 343,11
164,738 954 508,12
165,738 954 518,12
166,738 954 528,12
167,738 954 509,12
168,738 954 510,12
169,738 954 511,12
124,738 910 408,13
125,738 910 409,13
126,738 910 410,13
127,738 910 411,13
128,738 910 412,13
129,738 910 413,13
130,738 910 414,13
131,738 910 416,13
132,738 910 417,13
133,738 910 420,13
110,738 114 608,14
111,738 114 609,14
112,738 114 610,14
113,799 738 300,15
114,799 738 301,15
115,799 738 310,15
41,738 204 218,16
42,738 204 222,16
43,738 204 223,16
44,738 204 227,16
45,738 204 228,16
46,738 204 229,16
47,738 204 240,16
48,738 204 241,16
49,738 204 242,16
50,738 204 243,16
107,738 114 406,17
198,738 514 708,18
199,738 514 709,18
200,738 514 710,18
201,738 514 711,18
202,738 514 712,18
203,738 514 713,18
204,738 514 714,18
99,738 954 061,19
100,738 954 062,19
101,738 954 063,19
102,738 954 064,19
103,738 954 066,19
33,738 204 108,20
34,738 204 109,20
35,738 204 110,20
36,738 204 111,20
37,738 204 112,20
38,738 204 113,20
39,738 204 114,20
40,738 204 166,20
143,738 010 051,21
144,738 010 056,21
51,738 204 506,22
52,738 204 509,22
53,738 204 512,22
54,738 204 515,22
55,738 204 519,22
56,738 204 524,22
145,738 944 508,23
146,738 944 518,23
147,738 944 528,23
148,738 944 509,23
149,738 944 510,23
150,738 944 511,23
108,738 110 407,24
84,738 313 408,25
85,738 313 409,25
86,738 313 459,25
87,738 313 410,25
88,738 313 460,25
89,738 313 411,25
90,738 313 461,25
91,738 313 412,25
92,738 313 462,25
93,738 313 413,25
94,738 313 463,25
95,738 313 414,25
96,738 313 464,25
97,738 313 436,25
98,738 313 486,25
213,738 940 008,26
214,738 940 018,26
215,738 940 028,26
216,738 940 009,26
217,738 940 010,26
218,738 940 011,26
205,738 944 108,27
176,738 954 318,28
177,738 954 328,28
178,738 954 338,28
179,738 954 309,28
180,738 954 319,28
181,738 954 310,28
182,738 954 311,28
219,738 940 308,29
220,738 940 318,29
221,738 940 328,29
222,738 940 309,29
223,738 940 319,29
224,738 940 310,29
225,738 940 311,29
191,738 514 608,30
192,738 514 609,30
193,738 514 610,30
194,738 514 611,30
195,738 514 612,30
196,738 514 613,30
197,738 514 614,30
226,738 950 508,31
227,738 950 518,31
228,738 950 528,31
229,738 950 519,31
230,738 950 510,31
231,738 950 511,31
183,738 544 708,32
184,738 544 709,32
185,738 544 710,32
186,738 544 711,32
134,738 010 012,33
135,738 010 013,33
136,738 010 014,33
137,738 010 015,33
138,738 010 016,33
139,738 010 017,33
140,738 010 018,33
141,738 010 019,33
142,738 010 020,33
157,738 944 308,34
158,738 944 318,34
159,738 944 328,34
160,738 944 309,34
161,738 944 319,34
162,738 944 310,34
163,738 944 311,34
248,738 540 208,35
249,738 540 209,35
250,738 540 210,35
251,738 540 211,35
232,738 950 008,36
233,738 950 018,36
234,738 950 028,36
235,738 950 019,36
236,738 950 010,36
237,738 950 011,36
314,738 914 816,37
109,738 114 508,38
305,738 912 012,39
306,738 912 013,39
307,738 912 014,39
308,738 912 015,39
309,738 912 016,39
310,738 912 017,39
311,738 912 018,39
312,738 912 019,39
313,738 912 020,39
315,738 960 008,40
316,738 960 009,40
317,738 960 010,40
318,738 960 011,40
319,738 960 012,40
320,738 960 013,40
321,738 960 014,40
322,738 960 016,40
323,738 960 017,40
324,738 960 020,40
351,738 990 308,41
352,738 990 309,41
353,738 990 310,41
354,738 990 311,41
355,738 990 312,41
356,738 990 313,41
252,738 940 108,42
345,138 546 408,43
346,138 546 409,43
347,138 546 410,43
348,138 546 411,43
349,138 546 412,43
350,138 546 413,43
339,138 541 308,44
340,138 541 309,44
341,138 541 310,44
342,138 541 311,44
343,138 546 312,44
344,138 546 313,44
369,138 567 414,45
370,138 567 416,45
271,727 700 206,46
272,727 700 207,46
273,727 700 208,46
274,727 700 209,46
275,727 700 210,46
276,727 700 211,46
277,727 700 212,46
278,727 700 313,46
279,727 700 314,46
280,727 700 315,46
281,727 700 815,46
282,727 700 716,46
283,727 700 816,46
253,738 950 118,47
371,199 565 000,48
372,199 565 001,48
373,199 565 002,48
374,199 565 003,48
375,199 565 004,48
376,199 565 005,48
377,199 565 006,48
378,199 565 020,48
379,199 565 021,48
380,199 565 022,48
381,199 565 023,48
382,199 565 024,48
383,199 565 025,48
384,199 565 026,48
389,738 990 458,49
390,738 990 459,49
391,738 990 460,49
392,738 990 461,49
393,738 990 462,49
394,738 990 463,49
395,738 990 464,49
396,738 990 466,49
397,738 990 467,49
398,738 990 470,49
405,799 738 013,50
262,753 800 008,51
263,753 800 009,51
264,753 800 010,51
265,753 800 011,51
266,753 800 012,51
267,753 800 013,51
268,753 800 014,51
269,753 800 015,51
270,753 800 016,51
333,738 924 206,52
334,738 924 207,52
335,738 924 208,52
336,738 924 209,52
337,738 924 210,52
338,738 924 211,52
325,738 914 508,53
326,738 914 509,53
327,738 914 510,53
328,738 914 511,53
329,738 914 512,53
330,738 914 513,53
331,738 914 514,53
332,738 914 516,53
